400
Graphene structure from TEM
C 326.000 105.000 0.000
C 14.000 265.000 0.000
C 32.000 219.000 0.000
C 114.000 107.000 0.000
C 161.000 158.000 0.000
C 178.000 197.000 0.000
C 237.000 349.000 0.000
C 320.000 282.000 0.000
C 21.000 337.000 0.000
C 44.000 309.000 0.000
C 104.000 129.000 0.000
C 114.000 330.000 0.000
C 222.000 329.000 0.000
C 240.000 62.000 0.000
C 73.000 308.000 0.000
C 76.000 21.000 0.000
C 130.000 130.000 0.000
C 135.000 174.000 0.000
C 158.000 352.000 0.000
C 168.000 328.000 0.000
C 207.000 20.000 0.000
C 210.000 129.000 0.000
C 216.000 283.000 0.000
C 235.000 128.000 0.000
C 311.000 83.000 0.000
C 8.000 331.000 0.000
C 38.000 153.000 0.000
C 116.000 219.000 0.000
C 124.000 197.000 0.000
C 161.000 64.000 0.000
C 189.000 63.000 0.000
C 6.000 221.000 0.000
C 8.000 109.000 0.000
C 192.000 312.000 0.000
C 204.000 195.000 0.000
C 237.000 19.000 0.000
C 321.000 62.000 0.000
C 11.000 153.000 0.000
C 23.000 132.000 0.000
C 28.000 65.000 0.000
C 29.000 286.000 0.000
C 50.000 352.000 0.000
C 55.000 65.000 0.000
C 99.000 307.000 0.000
C 239.000 173.000 0.000
C 251.000 150.000 0.000
C 262.000 127.000 0.000
C 351.000 198.000 0.000
C 33.000 109.000 0.000
C 64.000 43.000 0.000
C 76.000 130.000 0.000
C 247.000 327.000 0.000
C 250.000 261.000 0.000
C 282.000 194.000 0.000
C 324.000 199.000 0.000
C 346.000 154.000 0.000
C 63.000 109.000 0.000
C 134.000 286.000 0.000
C 166.000 107.000 0.000
C 203.000 85.000 0.000
C 224.000 151.000 0.000
C 269.000 311.000 0.000
C 279.000 148.000 0.000
C 285.000 304.000 0.000
C 351.000 282.000 0.000
C 79.000 242.000 0.000
C 83.000 174.000 0.000
C 92.000 152.000 0.000
C 104.000 351.000 0.000
C 125.000 307.000 0.000
C 147.000 263.000 0.000
C 216.000 63.000 0.000
C 251.000 41.000 0.000
C 254.000 67.000 0.000
C 45.000 86.000 0.000
C 83.000 286.000 0.000
C 136.000 64.000 0.000
C 154.000 21.000 0.000
C 163.000 174.000 0.000
C 171.000 42.000 0.000
C 263.000 239.000 0.000
C 287.000 126.000 0.000
C 289.000 17.000 0.000
C 327.000 325.000 0.000
C 67.000 264.000 0.000
C 124.000 86.000 0.000
C 147.000 43.000 0.000
C 182.000 130.000 0.000
C 187.000 173.000 0.000
C 196.000 107.000 0.000
C 294.000 281.000 0.000
C 306.000 261.000 0.000
C 14.000 45.000 0.000
C 49.000 21.000 0.000
C 130.000 20.000 0.000
C 151.000 196.000 0.000
C 215.000 172.000 0.000
C 221.000 217.000 0.000
C 23.000 22.000 0.000
C 83.000 64.000 0.000
C 158.000 240.000 0.000
C 168.000 218.000 0.000
C 172.000 151.000 0.000
C 205.000 306.000 0.000
C 246.000 216.000 0.000
C 257.000 306.000 0.000
C 313.000 221.000 0.000
C 342.000 125.000 0.000
C 88.000 219.000 0.000
C 146.000 152.000 0.000
C 199.000 263.000 0.000
C 248.000 105.000 0.000
C 293.000 61.000 0.000
C 301.000 105.000 0.000
C 337.000 304.000 0.000
C 87.000 107.000 0.000
C 105.000 241.000 0.000
C 226.000 41.000 0.000
C 279.000 260.000 0.000
C 305.000 39.000 0.000
C 17.000 198.000 0.000
C 50.000 242.000 0.000
C 65.000 152.000 0.000
C 141.000 330.000 0.000
C 156.000 130.000 0.000
C 231.000 305.000 0.000
C 311.000 194.000 0.000
C 328.000 215.000 0.000
C 183.000 240.000 0.000
C 299.000 217.000 0.000
C 299.000 327.000 0.000
C 315.000 18.000 0.000
C 40.000 42.000 0.000
C 121.000 44.000 0.000
C 189.000 284.000 0.000
C 230.000 84.000 0.000
C 235.000 239.000 0.000
C 314.000 238.000 0.000
C 49.000 131.000 0.000
C 150.000 86.000 0.000
C 178.000 85.000 0.000
C 194.000 328.000 0.000
C 288.000 349.000 0.000
C 315.000 127.000 0.000
C 338.000 191.000 0.000
C 35.000 330.000 0.000
C 60.000 331.000 0.000
C 231.000 195.000 0.000
C 261.000 350.000 0.000
C 173.000 263.000 0.000
C 209.000 241.000 0.000
C 332.000 258.000 0.000
C 183.000 21.000 0.000
C 284.000 83.000 0.000
C 18.000 87.000 0.000
C 129.000 241.000 0.000
C 331.000 148.000 0.000
C 91.000 264.000 0.000
C 98.000 85.000 0.000
C 338.000 81.000 0.000
C 200.000 150.000 0.000
C 86.000 330.000 0.000
C 210.000 350.000 0.000
C 72.000 87.000 0.000
C 72.000 197.000 0.000
C 108.000 284.000 0.000
C 265.000 63.000 0.000
C 22.000 242.000 0.000
C 256.000 194.000 0.000
C 91.000 42.000 0.000
C 288.000 238.000 0.000
C 314.000 349.000 0.000
C 226.000 261.000 0.000
