Node1,Node2
"(63.0, 306.0)","(49.0, 299.0)"
"(162.0, 337.0)","(146.0, 337.0)"
"(465.0, 67.0)","(449.0, 59.0)"
"(376.0, 323.0)","(371.0, 337.0)"
"(190.0, 151.0)","(200.0, 156.0)"
"(190.0, 151.0)","(187.0, 133.0)"
"(168.0, 235.0)","(152.0, 229.0)"
"(13.0, 325.0)","(13.0, 337.0)"
"(151.0, 281.0)","(137.46730004418913, 286.79666372072467)"
"(30.0, 150.0)","(32.0, 133.0)"
"(30.0, 150.0)","(16.0, 158.0)"
"(241.0, 145.0)","(253.0, 153.0)"
"(241.0, 145.0)","(230.0, 154.0)"
"(312.0, 257.0)","(327.94454264251, 248.7012152010605)"
"(82.0, 82.0)","(70.0, 72.0)"
"(74.0, 155.0)","(67.0, 145.0)"
"(75.0, 263.0)","(67.0, 275.0)"
"(253.0, 153.0)","(249.0, 169.0)"
"(67.0, 211.0)","(57.0, 228.0)"
"(20.0, 226.0)","(27.0, 232.0)"
"(20.0, 226.0)","(20.0, 210.0)"
"(320.0, 222.0)","(307.0, 227.0)"
"(32.0, 133.0)","(15.0, 128.0)"
"(449.0, 59.0)","(438.11246133451175, 61.31279275298277)"
"(67.0, 275.0)","(51.0, 270.0)"
"(126.0, 261.0)","(120.0, 247.0)"
"(126.0, 261.0)","(125.0, 279.0)"
"(249.0, 169.0)","(263.0, 171.0)"
"(315.0, 285.0)","(312.5004418912947, 304.29997790543524)"
"(225.0, 103.0)","(225.0, 118.0)"
"(257.0, 249.0)","(250.0, 232.0)"
"(257.0, 249.0)","(272.34577993813525, 250.76042863455586)"
"(143.0, 238.0)","(152.0, 229.0)"
"(143.0, 238.0)","(128.20083959346002, 236.34593460008836)"
"(118.0, 77.0)","(106.57909854175875, 82.93453380468407)"
"(27.0, 281.0)","(21.0, 296.0)"
"(404.0, 128.0)","(390.0, 129.0)"
"(404.0, 128.0)","(410.3130799823243, 139.5629032258064)"
"(65.0, 30.0)","(52.0, 32.0)"
"(120.0, 247.0)","(105.0, 247.0)"
"(120.0, 247.0)","(128.20083959346002, 236.34593460008836)"
"(360.0, 127.0)","(365.0, 113.0)"
"(333.0, 169.0)","(322.79650905877156, 173.53992487847984)"
"(333.0, 169.0)","(341.32942996022985, 156.03661069376932)"
"(109.0, 307.0)","(111.72713212549715, 291.9446973044631)"
"(109.0, 307.0)","(95.25342465753425, 308.41840477242596)"
"(263.0, 171.0)","(273.0, 159.0)"
"(21.0, 296.0)","(9.0, 294.0)"
"(229.0, 265.0)","(230.0, 283.0)"
"(279.0, 20.0)","(267.0, 13.0)"
"(359.0, 67.0)","(347.0, 75.0)"
"(99.0, 279.0)","(111.72713212549715, 283.70784357048166)"
"(99.0, 279.0)","(111.72713212549715, 291.9446973044631)"
"(49.0, 106.0)","(50.0, 114.0)"
"(203.0, 264.0)","(204.0, 280.0)"
"(318.0, 121.0)","(313.0, 106.0)"
"(180.0, 173.0)","(165.0, 162.0)"
"(195.0, 121.0)","(187.0, 133.0)"
"(347.0, 75.0)","(346.47746354396816, 92.2009942554131)"
"(369.0, 24.0)","(362.95117101193114, 37.631838267786065)"
"(369.0, 24.0)","(367.06959787892185, 11.891670349094056)"
"(369.0, 24.0)","(382.513698630137, 34.543018117543056)"
"(444.0, 282.0)","(458.0, 275.0)"
"(120.0, 113.0)","(125.0, 126.0)"
"(200.0, 156.0)","(207.0, 169.0)"
"(353.0, 337.0)","(354.0, 321.0)"
"(353.0, 337.0)","(371.0, 337.0)"
"(353.0, 337.0)","(340.29982324348214, 322.83289880689347)"
"(449.0, 328.0)","(465.0, 331.0)"
"(449.0, 328.0)","(432.0, 334.0)"
"(343.0, 14.0)","(327.0, 10.0)"
"(136.0, 311.0)","(136.0, 300.0)"
"(244.0, 24.0)","(256.0, 26.0)"
"(267.0, 13.0)","(256.0, 26.0)"
"(15.0, 128.0)","(8.0, 114.0)"
"(354.0, 321.0)","(339.27021652673443, 309.4480114891736)"
"(354.0, 321.0)","(340.29982324348214, 322.83289880689347)"
"(138.0, 36.0)","(152.0, 38.0)"
"(35.0, 180.0)","(49.95072912063634, 173.53992487847984)"
"(204.0, 280.0)","(188.0, 286.0)"
"(108.0, 32.0)","(96.0, 31.0)"
"(414.0, 337.0)","(399.0, 337.0)"
"(414.0, 337.0)","(432.0, 334.0)"
"(55.0, 337.0)","(38.0, 337.0)"
"(125.0, 279.0)","(111.72713212549715, 283.70784357048166)"
"(125.0, 279.0)","(111.72713212549715, 291.9446973044631)"
"(125.0, 279.0)","(137.46730004418913, 286.79666372072467)"
"(305.0, 337.0)","(316.61886875828543, 326.9513256738842)"
"(250.0, 232.0)","(261.0201060539108, 222.9610472823685)"
"(152.0, 38.0)","(158.05943437914274, 56.16475916924435)"
"(458.0, 275.0)","(465.0, 278.0)"
"(458.0, 275.0)","(462.82302253645605, 260.026889085285)"
"(465.0, 278.0)","(462.82302253645605, 260.026889085285)"
"(182.0, 40.0)","(179.68117543084404, 28.365377817056924)"
"(136.0, 300.0)","(137.46730004418913, 286.79666372072467)"
"(188.0, 286.0)","(188.0, 294.0)"
"(382.0, 283.0)","(393.83937251436146, 288.85587715422)"
"(256.0, 26.0)","(266.0, 39.0)"
"(20.0, 210.0)","(11.0, 194.0)"
"(179.0, 11.0)","(179.68117543084404, 28.365377817056924)"
"(13.0, 102.0)","(8.0, 114.0)"
"(157.0, 10.0)","(141.0, 9.0)"
"(362.95117101193114, 37.631838267786065)","(382.513698630137, 34.543018117543056)"
"(346.47746354396816, 92.2009942554131)","(339.27021652673443, 101.46745470614223)"
"(268.22735307114453, 103.52666813963765)","(283.6714538223597, 108.67470172337596)"
"(58.18758285461777, 181.77677861246133)","(49.95072912063634, 173.53992487847984)"
"(420.6091471498012, 283.70784357048166)","(418.5499337163059, 299.1519443216968)"
"(418.5499337163059, 299.1519443216968)","(404.1354396818383, 305.3295846221829)"
"(404.1354396818383, 305.3295846221829)","(393.83937251436146, 288.85587715422)"
"(312.5004418912947, 304.29997790543524)","(321.76690234202385, 313.5664383561644)"
"(312.5004418912947, 304.29997790543524)","(298.08594785682726, 312.5368316394167)"
"(339.27021652673443, 309.4480114891736)","(321.76690234202385, 313.5664383561644)"
"(339.27021652673443, 309.4480114891736)","(340.29982324348214, 322.83289880689347)"
"(321.76690234202385, 313.5664383561644)","(316.61886875828543, 326.9513256738842)"
"(111.72713212549715, 283.70784357048166)","(111.72713212549715, 291.9446973044631)"
"(284.7010605391074, 263.115709235528)","(288.8194874060981, 251.79003535130357)"
"(284.7010605391074, 263.115709235528)","(272.34577993813525, 250.76042863455586)"
"(288.8194874060981, 251.79003535130357)","(272.34577993813525, 250.76042863455586)"
"(341.32942996022985, 156.03661069376932)","(337.2110030932391, 145.74054352629247)"
