Node1,Node2
"(465.0, 227.0)","(452.0, 232.0)"
"(164.0, 25.0)","(152.0, 38.0)"
"(164.0, 25.0)","(157.0, 10.0)"
"(164.0, 25.0)","(179.68117543084404, 28.365377817056924)"
"(23.0, 67.0)","(28.0, 50.0)"
"(23.0, 67.0)","(9.0, 69.0)"
"(413.0, 185.0)","(398.0, 192.0)"
"(413.0, 185.0)","(411.0, 170.0)"
"(170.0, 0.0)","(150.0, 0.0)"
"(170.0, 0.0)","(179.0, 11.0)"
"(170.0, 0.0)","(157.0, 10.0)"
"(0.0, 293.0)","(9.0, 294.0)"
"(293.0, 0.0)","(295.0, 14.0)"
"(438.0, 111.0)","(424.0, 116.0)"
"(438.0, 111.0)","(439.0, 94.0)"
"(14.0, 39.0)","(15.0, 21.0)"
"(14.0, 39.0)","(0.0, 28.0)"
"(14.0, 39.0)","(28.0, 50.0)"
"(345.0, 201.0)","(328.0, 204.0)"
"(345.0, 201.0)","(346.47746354396816, 183.8359920459567)"
"(345.0, 201.0)","(354.7143172779497, 214.72419354838706)"
"(370.0, 205.0)","(375.3064516129033, 218.84262041537778)"
"(370.0, 205.0)","(354.7143172779497, 214.72419354838706)"
"(15.0, 21.0)","(0.0, 28.0)"
"(15.0, 21.0)","(0.0, 11.0)"
"(15.0, 21.0)","(26.0, 10.0)"
"(454.0, 170.0)","(465.0, 177.0)"
"(454.0, 170.0)","(459.0, 154.0)"
"(454.0, 170.0)","(437.0, 172.0)"
"(228.0, 203.0)","(214.0, 210.0)"
"(258.0, 53.0)","(267.0, 67.0)"
"(258.0, 53.0)","(266.0, 39.0)"
"(258.0, 53.0)","(245.57600530269556, 56.16475916924435)"
"(353.0, 0.0)","(343.0, 14.0)"
"(353.0, 0.0)","(367.06959787892185, 11.891670349094056)"
"(17.0, 0.0)","(35.0, 0.0)"
"(17.0, 0.0)","(26.0, 10.0)"
"(465.0, 120.0)","(465.0, 100.0)"
"(239.0, 100.0)","(245.0, 114.0)"
"(239.0, 100.0)","(247.0, 84.0)"
"(239.0, 100.0)","(225.0, 103.0)"
"(327.0, 51.0)","(333.0, 67.0)"
"(327.0, 51.0)","(314.0, 53.0)"
"(327.0, 51.0)","(332.0629695095007, 39.69105170128148)"
"(451.0, 247.0)","(432.0, 252.0)"
"(451.0, 247.0)","(452.0, 232.0)"
"(451.0, 247.0)","(462.82302253645605, 260.026889085285)"
"(43.0, 44.0)","(28.0, 50.0)"
"(43.0, 44.0)","(50.0, 56.0)"
"(43.0, 44.0)","(52.0, 32.0)"
"(27.0, 97.0)","(13.0, 102.0)"
